1.0|0.0 0.0 0.0 0.0 0.7941986993420626 0.0 0.1991081098467693 0.0 0.0 0.0
2.0|0.0 0.0 0.0 0.8280505133948235 0.0 0.0 0.0 0.0 0.0 0.0
3.0|7.813444308261913 1.6583835199070458 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0
4.0|0.0 0.0 2.5105852511559665 0.0 0.0 0.38675358713602687 0.0 0.0 0.0 0.0
5.0|0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.3303696039172396 0.0
6.0|0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3.764532447377802e-11
7.0|0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.004309949376908434
8.0|0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.286535165635139e-06
9.0|0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.001034263913646261 8.636571894860248e-14 0.0
10.0|0.0 0.0 0.0 0.0 0.0 1.777758963829459e-53 2.9190986222850613e-39 0.0 0.0 0.3359253545768742
11.0|0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.3072458031182577e-09
12.0|0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.0972550255279465e-15
13.0|0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3.1935079667286405e-14 0.0
14.0|0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3.975082851916395e-16
15.0|0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.3707276626150865e-23 5.691363256796836e-16
16.0|0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.5734200413256423 0.0 0.0
17.0|0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.9867950458561712e-15
18.0|0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.4066494023756378e-23 0.0
19.0|0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.845000184498109e-21
20.0|0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.3417512048346937e-18 4.739209329552427e-10
