1.0|-2.580824906361788e-10 7.982066566755192e-09 -1.6834496435052615e-09 -2.0009234169628283e-08 5.85239307393428e-08 -7.30420668658364e-08 2.4870732470305803e-07 -2.451635336237566e-08 1.6685648642241958e-07 -3.015978902678889e-07 -4.48476374345819e-07 -1.7963709293141545e-07 1.2176794625735354e-06 -1.503056899050915e-06 3.7453953397146327e-07
2.0|-3.0348069219969723e-06 11.313707817815297 -7.815026615709825e-06 2.315574898894121e-06 -6.114519255140871e-06 -1.176644160351991e-05 3.9658406745968984e-05 -3.1178970161540465e-06 2.5084918965810348e-05 -3.5445192719261404e-05 9.473328432815025e-06 -1.6440881417113835e-05 5.2292481521939794e-05 -2.9463480550140986e-05 5.148120061816668e-06
3.0|0.0004606711732722048 0.00030333843285488204 0.001347460657572266 0.001518270429753959 -0.023143594896232734 0.001298788040330033 -0.02755483948677055 0.030064408499821022 -0.0778451413643042 0.02140649504901345 -0.07616686703995589 0.11830335776851533 -0.07585422900415593 0.12324470525315903 -0.2565542298049566
4.0|-2.3000045104837423e-06 -2.9158915803397465e-06 -1.0495451200307341e-05 9.949870618220414 -8.207774217655698e-05 -6.28938581009885e-06 -2.9005622700382257e-06 5.8952519261100746e-05 -8.430058711379709e-06 2.8252408073707374e-06 -7.55590901060949e-05 0.00015781732415666333 2.9309545757180845e-06 5.7208168367141455e-05 -8.604906726204984e-05
5.0|-1.8156079452895363e-13 -1.1196128853841216e-12 1.561856327203826e-13 -9.984385464022392e-12 -1.2969581358308275e-11 -1.83314626579333e-11 4.331255480488101e-12 -6.885632130136824e-11 -2.3237104476422064e-10 1.1817779161802349e-11 2.1592009269017433e-11 -1.9617793623061779e-10 -1.4810769240390467e-11 -3.159611826318407e-10 1.1412139930737654e-10
6.0|0.0002168059446063122 0.0002113315884346223 0.0001559842465414923 0.00010201108335730703 -0.011030215423353733 0.0018397851438483933 -0.020148042348829335 0.004280532559678577 -0.020078541641828394 -0.016327210081863407 -0.04037980204745321 0.0024469220159072927 -0.0019062321751607963 0.004169531176088176 -0.04018865586416245
7.0|8.58615629624249e-05 0.00027935853301760017 9.480611649091483e-05 0.00039608838469677146 0.0019304023051272422 0.0003813330451547493 -0.020187944027400886 -0.011973737068345255 0.0030267475810845028 -0.02889980615553263 -0.019617049070616597 0.0004899956157424723 0.014958380047490649 0.0666652499422512 0.0031608764625786984
8.0|-1.3568760761853394e-09 9.279181861138944e-09 -1.6106699348585785e-08 4.070923104448812e-09 5.4376017824939786e-08 3.4011504741001166e-08 -1.3259574720111814e-07 -2.0255716609298196e-07 8.723692883895191e-07 -5.860467460908276e-07 -5.2030153038524106e-08 3.685986166467768e-07 5.234328827173283e-07 8.387174049613302e-07 -3.3903484684093096e-07
9.0|9.129025750783887e-05 7.230746230449174e-06 0.00043637765561841557 0.00042001277704440104 -0.006006386053083476 0.0010712282630207285 -0.018964323188160964 0.014582551169029165 -0.031966454427399274 0.02291065223278905 -0.049035304985127724 0.09203388489246069 -0.1314090923909948 0.5544548154589479 6.522918153219575
10.0|11.874341919926188 2.8076039905223215e-06 1.0920202274607926e-06 1.6744452063699671e-06 -1.133000168944306e-05 -9.391108704149636e-07 1.2574096655091066e-06 4.306427362391386e-06 -7.260130469315097e-06 -2.0221475456642408e-06 -6.24395564104106e-06 7.627254540230686e-06 1.6286009100552493e-06 -1.86691475520861e-07 -1.1004674146506382e-05
11.0|3.99984131193698e-06 9.571682541699469e-05 -0.00024129180603545315 -2.1909136231465524e-05 0.0011654305785442614 -0.0013526366172789135 0.03188495990034923 -0.01768052673121661 0.07800435239880561 7.272983677450382 -0.10992307140097682 0.10251184566824399 -0.052200239982643795 0.027297392426372587 -0.014886071287679553
12.0|3.943099671140037e-06 3.993459276811381e-06 -1.3466807276405081e-06 1.0810460898384404e-07 -0.00015692458343883944 -2.1314483343771826e-05 -0.0004947319331542198 -0.00042327367325637204 -0.000597154418951411 -0.0004833104445090338 -0.0023211361377539767 0.0005126637142789549 0.0008006838695249676 -0.00021207765849210348 -0.0017644661254710462
13.0|-1.760983823335662e-05 0.0001263146140970468 -0.0005596335844831378 -0.0002502301504990351 0.0030416638879416833 -0.002634125341786036 0.03906786736126839 -0.008672628370111159 0.03290303761052042 -0.04273741963740851 0.06752126979496406 -0.13229177391306163 0.30487661616327966 6.629623831836177 -0.4540586546912761
14.0|1.939236655434142e-05 9.814750349467782e-06 9.251669396218583e-05 0.00010383397048725377 8.999704997896746 -0.002729865148305286 0.0008532545676380977 -0.0005925401584575124 0.0014185667441788835 -0.0005695154218608225 0.0011405188328583568 -0.001432709110890951 0.0007896112663430633 -0.0006573553312378377 0.0013682969944397835
15.0|-7.197238132578516e-08 -9.205745303282024e-08 -6.496887911730473e-07 1.715571790307739e-07 5.12295985266401e-06 6.028116100818223e-06 4.796105538757974e-06 4.679625176949786e-05 6.224421875394508e-05 1.2415837287353674e-05 9.866148868915416e-05 -4.645238563592419e-05 1.5585244826355482e-05 0.00012068603973942772 6.627628628395297e-05
16.0|2.4470538752661967e-05 -6.164428852612719e-05 0.00026059038282635037 4.172639847550863e-05 -0.0026605806009158783 0.0012453617992574271 -0.050701239349471565 0.056578844332092995 7.4094531750800785 -0.07065223043649407 0.03425435992824113 -0.03381909279138781 0.03776905376925274 -0.017549876651682533 0.014912957276715011
17.0|1.422904974667955e-07 -1.8660201172930548e-06 1.9056729942582742e-06 -4.160215605520456e-06 -1.4081821281696984e-05 1.528488906280721e-05 -0.00017986748427728608 3.433908310400425e-05 -0.0001748428809627848 0.00017315904055983304 -0.00011157185139550456 0.00012569071103469656 -0.00015631862132661452 0.000299558886078813 -0.0003464763830482476
18.0|9.55717527909474e-07 4.5660329269345865e-05 -4.7172236598927884e-05 0.00018779371074275074 -1.8040657147922396e-05 3.3949580633393555e-05 0.0019001832125733092 0.002789852467275232 0.004218887290730452 -0.00011059434144229385 0.0013208157634601338 0.005105552986766949 0.0036749637557010593 -0.0008133558379614627 0.004523253516094849
19.0|1.942757549497868e-05 9.195803676659277e-05 0.00023044957459841475 -0.00015893788886650362 0.0005227880590654433 0.0002676582294302655 -0.0002978638925739527 -0.002553192686133984 0.002622891244115717 -0.009272103021491195 0.008753216224928181 -0.024292522309599038 0.021406438763025535 0.015165199543179195 -0.0061060495799602
